Frame,Speed,Altitude,Time,,,,
1,0,0,-2.37,,,F1,72
2,0,0,-2.34,,,T1,0
3,0,0,-2.3,,,F2,16827
4,0,0,-2.27,,,T2,559
5,0,0,-2.24,,,,
6,0,0,-2.2,,,,
7,0,0,-2.17,,,,
8,0,0,-2.14,,,,
9,0,0,-2.1,,,,
10,0,0,-2.07,,,,
11,0,0,-2.04,,,,
12,0,0,-2,,,,
13,0,0,-1.97,,,,
14,0,0,-1.94,,,,
15,0,0,-1.9,,,,
16,0,0,-1.87,,,,
17,0,0,-1.83,,,,
18,0,0,-1.8,,,,
19,0,0,-1.77,,,,
20,0,0,-1.73,,,,
21,0,0,-1.7,,,,
22,0,0,-1.67,,,,
23,0,0,-1.63,,,,
24,0,0,-1.6,,,,
25,0,0,-1.57,,,,
26,0,0,-1.53,,,,
27,0,0,-1.5,,,,
28,0,0,-1.47,,,,
29,0,0,-1.43,,,,
30,0,0,-1.4,,,,
31,0,0,-1.37,,,,
32,0,0,-1.33,,,,
33,0,0,-1.3,,,,
34,0,0,-1.27,,,,
35,0,0,-1.23,,,,
36,0,0,-1.2,,,,
37,0,0,-1.17,,,,
38,0,0,-1.13,,,,
39,0,0,-1.1,,,,
40,0,0,-1.07,,,,
41,0,0,-1.03,,,,
42,0,0,-1,,,,
43,0,0,-0.97,,,,
44,0,0,-0.93,,,,
45,0,0,-0.9,,,,
46,0,0,-0.87,,,,
47,0,0,-0.83,,,,
48,0,0,-0.8,,,,
49,0,0,-0.77,,,,
50,0,0,-0.73,,,,
51,0,0,-0.7,,,,
52,0,0,-0.67,,,,
53,0,0,-0.63,,,,
54,0,0,-0.6,,,,
55,0,0,-0.57,,,,
56,0,0,-0.53,,,,
57,0,0,-0.5,,,,
58,0,0,-0.47,,,,
59,0,0,-0.43,,,,
60,0,0,-0.4,,,,
61,0,0,-0.37,,,,
62,0,0,-0.33,,,,
63,0,0,-0.3,,,,
64,0,0,-0.27,,,,
65,0,0,-0.23,,,,
66,0,0,-0.2,,,,
67,0,0,-0.17,,,,
68,0,0,-0.13,,,,
69,0,0,-0.1,,,,
70,0,0,-0.07,,,,
71,0,0,-0.03,,,,
72,0,0,0,,,,
73,0,0,0.03,,,,
74,0,0,0.07,,,,
75,0,0,0.1,,,,
76,0,0,0.13,,,,
77,0,0,0.17,,,,
78,0,0,0.2,,,,
79,0,0,0.23,,,,
80,0,0,0.27,,,,
81,0,0,0.3,,,,
82,0,0,0.33,,,,
83,0,0,0.37,,,,
84,0,0,0.4,,,,
85,0,0,0.43,,,,
86,0,0,0.47,,,,
87,0,0,0.5,,,,
88,0,0,0.53,,,,
89,0,0,0.57,,,,
90,0,0,0.6,,,,
91,0,0,0.63,,,,
92,0,0,0.67,,,,
93,0,0,0.7,,,,
94,0,0,0.73,,,,
95,0,0,0.77,,,,
96,0,0,0.8,,,,
97,0,0,0.83,,,,
98,0,0,0.87,,,,
99,0,0,0.9,,,,
100,0,0,0.93,,,,
101,0,0,0.97,,,,
102,0,0,1,,,,
103,0,0,1.03,,,,
104,0,0,1.07,,,,
105,0,0,1.1,,,,
106,0,0,1.13,,,,
107,0,0,1.17,,,,
108,0,0,1.2,,,,
109,0,0,1.23,,,,
110,0,0,1.27,,,,
111,0,0,1.3,,,,
112,0,0,1.33,,,,
113,0,0,1.37,,,,
114,0,0,1.4,,,,
115,0,0,1.43,,,,
116,0,0,1.47,,,,
117,0,0,1.5,,,,
118,0,0,1.53,,,,
119,0,0,1.57,,,,
120,0,0,1.6,,,,
121,0,0,1.63,,,,
122,0,0,1.67,,,,
123,0,0,1.7,,,,
124,0,0,1.73,,,,
125,0,0,1.77,,,,
126,0,0,1.8,,,,
127,0,0,1.83,,,,
128,0,0,1.87,,,,
129,0,0,1.9,,,,
130,0,0,1.94,,,,
131,0,0,1.97,,,,
132,0,0,2,,,,
133,0,0,2.04,,,,
134,0,0,2.07,,,,
135,0,0,2.1,,,,
136,0,0,2.14,,,,
137,1,0,2.17,,,,
138,1,0,2.2,,,,
139,1,0,2.24,,,,
140,1,0,2.27,,,,
141,1,0,2.3,,,,
142,1,0,2.34,,,,
143,1,0,2.37,,,,
144,1,0,2.4,,,,
145,1,0,2.44,,,,
146,1,0,2.47,,,,
147,1,0,2.5,,,,
148,1,0,2.54,,,,
149,2,0,2.57,,,,
150,2,0,2.6,,,,
151,2,0,2.64,,,,
152,2,0,2.67,,,,
153,2,0,2.7,,,,
154,2,0,2.74,,,,
155,2,0,2.77,,,,
156,2,0,2.8,,,,
157,2,0,2.84,,,,
158,2,0,2.87,,,,
159,2,0,2.9,,,,
160,2,0,2.94,,,,
161,2,0,2.97,,,,
162,3,0,3,,,,
163,3,0,3.04,,,,
164,3,0,3.07,,,,
165,3,0,3.1,,,,
166,3,0,3.14,,,,
167,3,0,3.17,,,,
168,3,0,3.2,,,,
169,3,0,3.24,,,,
170,3,0,3.27,,,,
171,3,0,3.3,,,,
172,4,0,3.34,,,,
173,4,0,3.37,,,,
174,4,0,3.4,,,,
175,4,0,3.44,,,,
176,4,0,3.47,,,,
177,4,0,3.5,,,,
178,4,0,3.54,,,,
179,4,0,3.57,,,,
180,4,0,3.6,,,,
181,4,0,3.64,,,,
182,4,0,3.67,,,,
183,5,0,3.7,,,,
184,5,0,3.74,,,,
185,5,0,3.77,,,,
186,5,0,3.8,,,,
187,5,0,3.84,,,,
188,5,0,3.87,,,,
189,5,0,3.9,,,,
190,5,0,3.94,,,,
191,5,0,3.97,,,,
192,6,0,4,,,,
193,6,0,4.04,,,,
194,6,0,4.07,,,,
195,6,0,4.1,,,,
196,6,0,4.14,,,,
197,6,0,4.17,,,,
198,6,0,4.2,,,,
199,6,0,4.24,,,,
200,7,0,4.27,,,,
201,7,0,4.3,,,,
202,7,0,4.34,,,,
203,7,0,4.37,,,,
204,7,0,4.4,,,,
205,7,0,4.44,,,,
206,7,0,4.47,,,,
207,7,0,4.5,,,,
208,7,0,4.54,,,,
209,7,0,4.57,,,,
210,7,0,4.6,,,,
211,7,0,4.64,,,,
212,8,0,4.67,,,,
213,8,0,4.7,,,,
214,8,0,4.74,,,,
215,8,0,4.77,,,,
216,8,0,4.8,,,,
217,8,0,4.84,,,,
218,8,0,4.87,,,,
219,8,0,4.9,,,,
220,8,0,4.94,,,,
221,8,0,4.97,,,,
222,9,0,5,,,,
223,9,0,5.04,,,,
224,9,0,5.07,,,,
225,9,0,5.1,,,,
226,9,0,5.14,,,,
227,9,0,5.17,,,,
228,9,0,5.2,,,,
229,9,0,5.24,,,,
230,9,0,5.27,,,,
231,9,0,5.3,,,,
232,9,0,5.34,,,,
233,10,0,5.37,,,,
234,10,0,5.4,,,,
235,10,0,5.44,,,,
236,10,0,5.47,,,,
237,10,0,5.5,,,,
238,10,0,5.54,,,,
239,10,0,5.57,,,,
240,10,0,5.61,,,,
241,10,0,5.64,,,,
242,11,0,5.67,,,,
243,11,0,5.71,,,,
244,11,0,5.74,,,,
245,11,0,5.77,,,,
246,11,0,5.81,,,,
247,11,0,5.84,,,,
248,11,0,5.87,,,,
249,11,0,5.91,,,,
250,11,0,5.94,,,,
251,12,0,5.97,,,,
252,12,0,6.01,,,,
253,12,0,6.04,,,,
254,12,0,6.07,,,,
255,12,0,6.11,,,,
256,12,0,6.14,,,,
257,12,0,6.17,,,,
258,12,0,6.21,,,,
259,12,0,6.24,,,,
260,13,0,6.27,,,,
261,13,0,6.31,,,,
262,13,0,6.34,,,,
263,13,0,6.37,,,,
264,13,0,6.41,,,,
265,13,0,6.44,,,,
266,13,0,6.47,,,,
267,13,0,6.51,,,,
268,13,0,6.54,,,,
269,13,0,6.57,,,,
270,14,0,6.61,,,,
271,14,0,6.64,,,,
272,14,0,6.67,,,,
273,14,0,6.71,,,,
274,14,0,6.74,,,,
275,14,0,6.77,,,,
276,14,0,6.81,,,,
277,14,0,6.84,,,,
278,14,0,6.87,,,,
279,15,0,6.91,,,,
280,15,0,6.94,,,,
281,15,0,6.97,,,,
282,15,0,7.01,,,,
283,15,0,7.04,,,,
284,15,0,7.07,,,,
285,15,0,7.11,,,,
286,15,0,7.14,,,,
287,15,0,7.17,,,,
288,16,0,7.21,,,,
289,16,0,7.24,,,,
290,16,0,7.27,,,,
291,16,0,7.31,,,,
292,16,0,7.34,,,,
293,16,0,7.37,,,,
294,16,0,7.41,,,,
295,16,0,7.44,,,,
296,16,0,7.47,,,,
297,17,0,7.51,,,,
298,17,0,7.54,,,,
299,17,0,7.57,,,,
300,17,0,7.61,,,,
301,17,0,7.64,,,,
302,17,0,7.67,,,,
303,17,0,7.71,,,,
304,17,0,7.74,,,,
305,17,0,7.77,,,,
306,18,0,7.81,,,,
307,18,0,7.84,,,,
308,18,0,7.87,,,,
309,18,0,7.91,,,,
310,18,0,7.94,,,,
311,18,0,7.97,,,,
312,18,0,8.01,,,,
313,18,0,8.04,,,,
314,19,0,8.07,,,,
315,19,0,8.11,,,,
316,19,0,8.14,,,,
317,19,0,8.17,,,,
318,19,0,8.21,,,,
319,19,0,8.24,,,,
320,19,0,8.27,,,,
321,19,0,8.31,,,,
322,19,0,8.34,,,,
323,20,0,8.37,,,,
324,20,0,8.41,,,,
325,20,0,8.44,,,,
326,20,0,8.47,,,,
327,20,0,8.51,,,,
328,20,0,8.54,,,,
329,20,0,8.57,,,,
330,20,0,8.61,,,,
331,21,0,8.64,,,,
332,21,0,8.67,,,,
333,21,0,8.71,,,,
334,21,0,8.74,,,,
335,21,0,8.77,,,,
336,21,0,8.81,,,,
337,21,0,8.84,,,,
338,21,0,8.87,,,,
339,22,0,8.91,,,,
340,22,0,8.94,,,,
341,22,0,8.97,,,,
342,22,0,9.01,,,,
343,22,0,9.04,,,,
344,22,0,9.07,,,,
345,22,0,9.11,,,,
346,22,0,9.14,,,,
347,23,0,9.17,,,,
348,23,0,9.21,,,,
349,23,0,9.24,,,,
350,23,0,9.27,,,,
351,23,0,9.31,,,,
352,23,0,9.34,,,,
353,23,0,9.38,,,,
354,23,0,9.41,,,,
355,23,0,9.44,,,,
356,24,0,9.48,,,,
357,24,0,9.51,,,,
358,24,0,9.54,,,,
359,24,0,9.58,,,,
360,24,0,9.61,,,,
361,24,0,9.64,,,,
362,24,0,9.68,,,,
363,24,0,9.71,,,,
364,25,0,9.74,,,,
365,25,0,9.78,,,,
366,25,0,9.81,,,,
367,25,0,9.84,,,,
368,25,0,9.88,,,,
369,25,0,9.91,,,,
370,25,0,9.94,,,,
371,25,0,9.98,,,,
372,26,0,10.01,,,,
373,26,0,10.04,,,,
374,26,0,10.08,,,,
375,26,0,10.11,,,,
376,26,0,10.14,,,,
377,26,0,10.18,,,,
378,26,0,10.21,,,,
379,26,0,10.24,,,,
380,27,0,10.28,,,,
381,27,0,10.31,,,,
382,27,0,10.34,,,,
383,27,0,10.38,,,,
384,27,0,10.41,,,,
385,27,0,10.44,,,,
386,27,0,10.48,,,,
387,27,0,10.51,,,,
388,27,0,10.54,,,,
389,28,0,10.58,,,,
390,28,0,10.61,,,,
391,28,0,10.64,,,,
392,28,0,10.68,,,,
393,28,0,10.71,,,,
394,28,0,10.74,,,,
395,28,0,10.78,,,,
396,29,0,10.81,,,,
397,29,0,10.84,,,,
398,29,0,10.88,,,,
399,29,0,10.91,,,,
400,29,0,10.94,,,,
401,29,0,10.98,,,,
402,29,0,11.01,,,,
403,29,0,11.04,,,,
404,29,0,11.08,,,,
405,30,0,11.11,,,,
406,30,0,11.14,,,,
407,30,0,11.18,,,,
408,30,0,11.21,,,,
409,30,0,11.24,,,,
410,30,0,11.28,,,,
411,30,0,11.31,,,,
412,30,0,11.34,,,,
413,31,0,11.38,,,,
414,31,0,11.41,,,,
415,31,0,11.44,,,,
416,31,0,11.48,,,,
417,31,0,11.51,,,,
418,31,0,11.54,,,,
419,31,0,11.58,,,,
420,31,0,11.61,,,,
421,32,0,11.64,,,,
422,32,0,11.68,,,,
423,32,0,11.71,,,,
424,32,0,11.74,,,,
425,32,0,11.78,,,,
426,32,0,11.81,,,,
427,32,0,11.84,,,,
428,32,0,11.88,,,,
429,33,0,11.91,,,,
430,33,0,11.94,,,,
431,33,0,11.98,,,,
432,33,0,12.01,,,,
433,33,0,12.04,,,,
434,33,0,12.08,,,,
435,33,0,12.11,,,,
436,33,0,12.14,,,,
437,34,0,12.18,,,,
438,34,0,12.21,,,,
439,34,0,12.24,,,,
440,34,0,12.28,,,,
441,34,0,12.31,,,,
442,34,0,12.34,,,,
443,34,0,12.38,,,,
444,35,0,12.41,,,,
445,35,0,12.44,,,,
446,35,0,12.48,,,,
447,35,0,12.51,,,,
448,35,0,12.54,,,,
449,35,0,12.58,,,,
450,35,0,12.61,,,,
451,36,0,12.64,,,,
452,36,0,12.68,,,,
453,36,0,12.71,,,,
454,36,0,12.74,,,,
455,36,0,12.78,,,,
456,36,0,12.81,,,,
457,36,0,12.84,,,,
458,36,0,12.88,,,,
459,36,0,12.91,,,,
460,37,0,12.94,,,,
461,37,0,12.98,,,,
462,37,0,13.01,,,,
463,37,0,13.05,,,,
464,37,0,13.08,,,,
465,37,0,13.11,,,,
466,37,0,13.15,,,,
467,37,0,13.18,,,,
468,38,0,13.21,,,,
469,38,0,13.25,,,,
470,38,0,13.28,,,,
471,38,0,13.31,,,,
472,38,0,13.35,,,,
473,38,0,13.38,,,,
474,38,0,13.41,,,,
475,39,0,13.45,,,,
476,39,0,13.48,,,,
477,39,0,13.51,,,,
478,39,0,13.55,,,,
479,39,0,13.58,,,,
480,39,0,13.61,,,,
481,39,0,13.65,,,,
482,39,0,13.68,,,,
483,39,0,13.71,,,,
484,40,0,13.75,,,,
485,40,0,13.78,,,,
486,40,0,13.81,,,,
487,40,0,13.85,,,,
488,40,0,13.88,,,,
489,40,0,13.91,,,,
490,40,0,13.95,,,,
491,40,0,13.98,,,,
492,41,0,14.01,,,,
493,41,0,14.05,,,,
494,41,0,14.08,,,,
495,41,0,14.11,,,,
496,41,0,14.15,,,,
497,41,0,14.18,,,,
498,41,0,14.21,,,,
499,42,0,14.25,,,,
500,42,0,14.28,,,,
501,42,0,14.31,,,,
502,42,0,14.35,,,,
503,42,0,14.38,,,,
504,42,0,14.41,,,,
505,42,0,14.45,,,,
506,42,0,14.48,,,,
507,43,0,14.51,,,,
508,43,0,14.55,,,,
509,43,0,14.58,,,,
510,43,0,14.61,,,,
511,43,0,14.65,,,,
512,43,0,14.68,,,,
513,43,0,14.71,,,,
514,43,0,14.75,,,,
515,44,0,14.78,,,,
516,44,0,14.81,,,,
517,44,0,14.85,,,,
518,44,0,14.88,,,,
519,44,0,14.91,,,,
520,44,0,14.95,,,,
521,44,0,14.98,,,,
522,44,0,15.01,,,,
523,45,0,15.05,,,,
524,45,0,15.08,,,,
525,45,0,15.11,,,,
526,45,0,15.15,,,,
527,45,0,15.18,,,,
528,45,0,15.21,,,,
529,45,0,15.25,,,,
530,46,0,15.28,,,,
531,46,0,15.31,,,,
532,46,0,15.35,,,,
533,46,0,15.38,,,,
534,46,0,15.41,,,,
535,46,0,15.45,,,,
536,46,0,15.48,,,,
537,46,0,15.51,,,,
538,46,0,15.55,,,,
539,47,0,15.58,,,,
540,47,0,15.61,,,,
541,47,0,15.65,,,,
542,47,0,15.68,,,,
543,47,0,15.71,,,,
544,47,0,15.75,,,,
545,47,0,15.78,,,,
546,48,0,15.81,,,,
547,48,0,15.85,,,,
548,48,0,15.88,,,,
549,48,0,15.91,,,,
550,48,0,15.95,,,,
551,48,0,15.98,,,,
552,48,0,16.01,,,,
553,48,0,16.05,,,,
554,49,0,16.08,,,,
555,49,0,16.11,,,,
556,49,0,16.15,,,,
557,49,0,16.18,,,,
558,49,0,16.21,,,,
559,49,0,16.25,,,,
560,49,0,16.28,,,,
561,50,0,16.31,,,,
562,50,0,16.35,,,,
563,50,0,16.38,,,,
564,50,0,16.41,,,,
565,50,0,16.45,,,,
566,50,0,16.48,,,,
567,50,0,16.51,,,,
568,51,0,16.55,,,,
569,51,0,16.58,,,,
570,51,0,16.61,,,,
571,51,0,16.65,,,,
