#Úhrn zrážok na stanici Vrbovce, SHMÚ
Čas merania	Zrážky 1h
12.09.2024 12:00	0.2
12.09.2024 13:00	0
12.09.2024 14:00	0.3
12.09.2024 15:00	0
12.09.2024 16:00	0.8
12.09.2024 17:00	0.3
12.09.2024 18:00	2.2
12.09.2024 19:00	1.8
12.09.2024 20:00	1.1
12.09.2024 21:00	2.9
12.09.2024 22:00	3.2
12.09.2024 23:00	2.3
13.09.2024 00:00	4.4
13.09.2024 01:00	4.2
13.09.2024 02:00	1.2
13.09.2024 03:00	2.6
13.09.2024 04:00	5.8
13.09.2024 05:00	2.4
13.09.2024 06:00	1.6
13.09.2024 07:00	0
13.09.2024 08:00	2.3
13.09.2024 09:00	3.7
13.09.2024 10:00	3
13.09.2024 11:00	2
13.09.2024 12:00	4.2
























