time [s], broadcast time [s], latitude [°], longitude [°], AMSL altitude [ft], GNSS altitude [ft], ground speed [kt], heading [°], vertical speed [ft/min], ECEF pos x [m], ECEF pos y [m], ECEF pos z [m], ECEF vel x [m], ECEF vel y [m], ECEF vel z [m], ENU pos x [m], ENU pos y [m], ENU pos z [m], ENU vel x [m], ENU vel y [m], ENU vel z [m], ENU ground speed est [m/s],  ENU vel_corr x [m], ENU vel_corr y [m], ENU vel_corr z [m], ECEF vel_corr x [m], ECEF vel_corr y [m], ECEF vel_corr z [m]
1719260399.229400, 1719260399.226882, 50.088684, 14.182555, 1650.000000, 2000.000000, 127.000000, 65.444503, -640.000000, 3975704.635032, 1004719.997291, 4869591.438446, -21.568276, 23.677375, 3.600039, -6534.283120, -2567.457846, 188.742675, 28.264220, 13.867709, -6.898509, 31.483003, 58.654226, 28.778424, -6.898509, -40.148887, 50.308347, 13.16215
1719260399.376659, 1719260399.375149, 50.088811, 14.182904, 1650.000000, 2000.000000, 127.000000, 65.444503, -640.000000, 3975687.976992, 1004741.600471, 4869600.520085, -112.351072, 145.703844, 61.251612, -6509.239713, -2553.333730, 188.773904, 168.906644, 95.260878, 0.210621, 193.917738, 56.907256, 32.094861, 0.210621, -37.766013, 49.111957, 20.74377
1719260399.601906, 1719260399.599963, 50.088904, 14.183350, 1650.000000, 2000.000000, 127.000000, 65.444503, -640.000000, 3975672.464336, 1004770.559099, 4869607.165171, -69.002268, 128.811671, 29.558190, -6477.350335, -2543.015395, 188.810427, 141.848019, 45.897270, 0.162460, 149.088631, 62.160886, 20.113182, 0.162460, -30.181573, 56.462506, 13.02307
1719260400.178564, 1719260400.177432, 50.089091, 14.183795, 1650.000000, 2025.000000, 127.000000, 65.444503, -640.000000, 3975653.989247, 1004798.768881, 4869626.300172, -31.993207, 48.850719, 33.135974, -6445.456278, -2522.342820, 196.470890, 55.230759, 35.798583, 13.265580, 65.817743, 54.824727, 35.535407, 13.265580, -31.697398, 48.507010, 32.96720
1719260400.731427, 1719260400.729245, 50.089233, 14.184289, 1625.000000, 1975.000000, 127.000000, 65.037210, -640.000000, 3975624.032062, 1004827.681576, 4869624.799493, -54.288713, 52.395876, -2.719547, -6410.050019, -2506.498516, 181.272740, 64.163579, 28.713206, -27.542241, 70.295186, 59.635031, 26.686681, -27.542241, -51.665225, 48.390515, -4.01914
1719260401.251787, 1719260401.250921, 50.089370, 14.184760, 1625.000000, 2000.000000, 127.000000, 65.037210, -640.000000, 3975609.218910, 1004858.691158, 4869640.390409, -28.395282, 59.442164, 29.886176, -6376.345470, -2491.351456, 188.932397, 64.608136, 29.035348, 14.682772, 70.832638, 59.592587, 26.781326, 14.682772, -25.482552, 55.007876, 28.44069
1719260402.322448, 1719260402.318194, 50.089600, 14.185590, 1625.000000, 1975.000000, 127.000000, 65.037210, -640.000000, 3975570.919524, 1004910.297931, 4869650.936498, -35.885279, 48.353868, 9.881342, -6316.888911, -2465.871640, 181.381342, 55.708862, 23.873759, -7.075093, 60.608858, 60.051884, 25.734939, -7.075093, -38.340072, 52.210710, 11.07490
1719260402.766327, 1719260402.765128, 50.089742, 14.185948, 1600.000000, 1950.000000, 127.000000, 65.037210, -640.000000, 3975548.099787, 1004930.919276, 4869655.280523, -51.058380, 46.139553, 9.719607, -6291.277819, -2450.018074, 173.792713, 57.303939, 35.471811, -16.979297, 67.394293, 55.552013, 34.387348, -16.979297, -49.820014, 44.646874, 9.02415
1719260403.259344, 1719260403.258455, 50.089835, 14.186393, 1600.000000, 1975.000000, 127.000000, 65.037210, -704.000000, 3975537.325466, 1004961.074540, 4869667.770396, -21.840125, 61.126330, 25.317641, -6259.397017, -2439.701378, 181.447977, 64.624090, 20.912494, 15.517629, 67.923527, 62.160238, 20.115186, 15.517629, -20.639760, 58.889378, 24.80633
1719260403.774588, 1719260403.773571, 50.089975, 14.186839, 1600.000000, 1950.000000, 128.000000, 64.632596, -704.000000, 3975513.220288, 1004987.859787, 4869671.892855, -46.795653, 51.998503, 8.002974, -6227.495380, -2424.200137, 173.865051, 61.931009, 30.092735, -14.720820, 68.855084, 59.226606, 28.778646, -14.720820, -45.151695, 49.626192, 7.16026
